Lat,Lon,Title,Province/State,X.1,Country/Region,Confirmed,Deaths,Recovered
24.4764638,39.5947869,"Saudi Arabia, City NA",Saudi Arabia,", ",City NA,1,0,0
30.5852,36.2384,"Jordan, City NA",Jordan,", ",City NA,1,0,0
14.4974,-17.467686,"Senegal, City NA",Senegal,", ",City NA,2,0,0
33.5950627,-7.6187768,"Casablanca, Morocco",Casablanca,", ",Morocco,1,0,0
41.1494512,-8.6107884,"Porto, Portugal",Porto,", ",Portugal,3,0,0
38.7077507,-9.1365919,"Lisbon, Portugal",Lisbon,", ",Portugal,1,0,0
39.2169525,9.1128513,"Cagliari, Sardinia",Cagliari,", ",Sardinia,1,0,0
36.8522752,10.221926,"Tunisia, City NA",Tunisia,", ",City NA,1,0,0
-35.4266305,-71.6661153,"Talca, Chile",Talca,", ",Chile,1,0,0
47.166,9.5554,"Liechtenstein, City NA",Liechtenstein,", ",City NA,1,0,0
48.2864702,25.9376532,"Chernivtsi, Ukraine",Chernivtsi,", ",Ukraine,1,0,0
-26.737224,-54.4315257,"Argentina, City NA",Argentina,", ",City NA,1,0,0
